"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Helicoverpa armigera","500100","2.0","","","0.0","","","0.0","-35.025","173.275","18.5595","18.5595","1.785","0.0","0.0","0.0","0.0","0.0","37.119","18.5595","0.0","37.119","18.5595"
"Helicoverpa armigera","500202","2.0","0.0","43.526","24.0","0.0","43.526","24.0","-35.075","173.425","16.1745","16.1745","1.725","0.0","0.0","0.0","0.0","0.0","43.526","15.32325","0.0","43.526","15.32325"
"Helicoverpa armigera","500203","2.0","","","0.0","","","0.0","-35.025","173.525","15.7405","15.7405","1.68","0.0","0.0","0.0","0.0","0.0","31.481","15.7405","0.0","31.481","15.7405"
"Helicoverpa armigera","500204","2.0","0.0","41.43","16.0","0.0","41.43","16.0","-35.225","173.225","11.2195","11.2195","1.215","0.0","0.0","0.0","0.0","0.0","41.43","16.852125","0.0","41.43","16.852125"
"Helicoverpa armigera","500205","2.0","","","0.0","","","0.0","-35.175","173.175","17.2555","17.2555","1.735","0.0","0.0","0.0","0.0","0.0","34.511","17.2555","0.0","34.511","17.2555"
"Helicoverpa armigera","500206","2.0","0.0","40.551","18.0","0.0","40.551","18.0","-34.575","172.875","18.6095","18.6095","1.8","0.0","0.0","0.0","0.0","0.0","40.551","18.7893611111111","0.0","40.551","18.7893611111111"
"Helicoverpa armigera","500207","2.0","0.0","39.3","9.0","0.0","39.3","9.0","-34.775","173.075","18.7755","18.7755","1.82","0.0","0.0","0.0","0.0","0.0","39.3","18.9873888888889","0.0","39.3","18.9873888888889"
"Helicoverpa armigera","500208","2.0","0.0","39.887","11.0","0.0","39.887","11.0","-34.975","173.175","18.346","18.346","1.71","0.0","0.0","0.0","0.0","0.0","39.887","18.612","0.0","39.887","18.612"
"Helicoverpa armigera","500301","2.0","","","0.0","","","0.0","-35.125","173.275","18.4405","18.4405","1.785","0.0","0.0","0.0","0.0","0.0","36.881","18.4405","0.0","36.881","18.4405"
"Helicoverpa armigera","500302","2.0","","","0.0","","","0.0","-35.125","173.275","18.4405","18.4405","1.785","0.0","0.0","0.0","0.0","0.0","36.881","18.4405","0.0","36.881","18.4405"
"Helicoverpa armigera","500401","2.0","","","0.0","","","0.0","-35.125","173.775","13.173","13.173","1.47","0.0","0.0","0.0","0.0","0.0","26.346","13.173","0.0","26.346","13.173"
"Helicoverpa armigera","500402","2.0","0.0","41.245","26.0","0.0","41.245","26.0","-35.075","173.775","16.4815","16.4815","1.74","0.0","0.0","0.0","0.0","0.0","41.245","14.3187884615385","0.0","41.245","14.3187884615385"
"Helicoverpa armigera","500500","2.0","","","0.0","","","0.0","-35.375","173.525","16.235","16.235","1.64","0.0","0.0","0.0","0.0","0.0","32.47","16.235","0.0","32.47","16.235"
"Helicoverpa armigera","500600","2.0","","","0.0","","","0.0","-35.425","173.525","16.732","16.732","1.67","0.0","0.0","0.0","0.0","0.0","33.464","16.732","0.0","33.464","16.732"
"Helicoverpa armigera","500700","2.0","","","0.0","","","0.0","-35.525","173.425","13.995","13.995","1.37","0.0","0.0","0.0","0.0","0.0","27.99","13.995","0.0","27.99","13.995"
"Helicoverpa armigera","500801","2.0","0.0","42.381","31.0","0.0","42.381","31.0","-35.325","173.475","15.296","15.296","1.56","0.0","0.0","0.0","0.0","0.0","42.381","14.8615322580645","0.0","42.381","14.8615322580645"
"Helicoverpa armigera","500802","2.0","0.0","42.428","29.0","0.0","42.428","29.0","-35.475","173.575","15.857","15.857","1.59","0.0","0.0","0.0","0.0","0.0","42.428","13.5986724137931","0.0","42.428","13.5986724137931"
"Helicoverpa armigera","500900","2.0","0.0","30.876","2.0","0.0","30.876","2.0","-35.225","173.975","15.438","15.438","1.65","0.0","0.0","0.0","0.0","0.0","30.876","14.99175","0.0","30.876","14.99175"
"Helicoverpa armigera","501000","2.0","","","0.0","","","0.0","-35.325","174.175","15.1745","15.1745","1.73","0.0","0.0","0.0","0.0","0.0","30.349","15.1745","0.0","30.349","15.1745"
"Helicoverpa armigera","501100","2.0","","","0.0","","","0.0","-35.325","174.075","14.43","14.43","1.705","0.0","0.0","0.0","0.0","0.0","28.86","14.43","0.0","28.86","14.43"
"Helicoverpa armigera","501200","2.0","","","0.0","","","0.0","-35.275","174.025","14.7335","14.7335","1.635","0.0","0.0","0.0","0.0","0.0","29.467","14.7335","0.0","29.467","14.7335"
"Helicoverpa armigera","501300","2.0","","","0.0","","","0.0","-35.325","174.075","14.43","14.43","1.705","0.0","0.0","0.0","0.0","0.0","28.86","14.43","0.0","28.86","14.43"
"Helicoverpa armigera","501400","2.0","","","0.0","","","0.0","-35.375","174.025","13.826","13.826","1.635","0.0","0.0","0.0","0.0","0.0","27.652","13.826","0.0","27.652","13.826"
"Helicoverpa armigera","501500","2.0","","","0.0","","","0.0","-35.375","174.025","13.826","13.826","1.635","0.0","0.0","0.0","0.0","0.0","27.652","13.826","0.0","27.652","13.826"
"Helicoverpa armigera","501612","2.0","","","0.0","","","0.0","-35.325","174.075","14.43","14.43","1.705","0.0","0.0","0.0","0.0","0.0","28.86","14.43","0.0","28.86","14.43"
"Helicoverpa armigera","501614","2.0","0.0","37.545","7.0","0.0","37.545","7.0","-35.175","173.975","16.3505","16.3505","1.655","0.0","0.0","0.0","0.0","0.0","37.545","16.9022142857143","0.0","37.545","16.9022142857143"
"Helicoverpa armigera","501615","2.0","0.0","31.82","2.0","0.0","31.82","2.0","-35.225","174.025","15.91","15.91","1.69","0.0","0.0","0.0","0.0","0.0","31.82","15.03025","0.0","31.82","15.03025"
"Helicoverpa armigera","501620","2.0","0.0","30.886","24.0","0.0","30.886","24.0","-35.425","174.125","12.629","12.629","1.545","0.0","0.0","0.0","0.0","0.0","30.886","13.309375","0.0","30.886","13.309375"
"Helicoverpa armigera","501631","2.0","0.0","26.621","2.0","0.0","26.621","2.0","-35.325","173.775","11.2035","11.2035","1.35","0.0","0.0","0.0","0.0","0.0","26.621","12.257","0.0","26.621","12.257"
"Helicoverpa armigera","501632","2.0","0.0","22.12","3.0","0.0","22.12","3.0","-35.325","173.875","10.784","10.784","1.4","0.0","0.0","0.0","0.0","0.0","22.12","10.8488333333333","0.0","22.12","10.8488333333333"
"Helicoverpa armigera","501633","2.0","0.0","29.467","13.0","0.0","29.467","13.0","-35.275","173.875","11.3195","11.3195","1.415","0.0","0.0","0.0","0.0","0.0","29.467","12.3134615384615","0.0","29.467","12.3134615384615"
"Helicoverpa armigera","501634","2.0","0.0","30.662","28.0","0.0","30.662","28.0","-35.475","173.825","13.5645","13.5645","1.56","0.0","0.0","0.0","0.0","0.0","30.662","11.9622678571429","0.0","30.662","11.9622678571429"
"Helicoverpa armigera","501700","2.0","","","0.0","","","0.0","-35.425","173.775","12.3805","12.3805","1.465","0.0","0.0","0.0","0.0","0.0","24.761","12.3805","0.0","24.761","12.3805"
"Helicoverpa armigera","501802","2.0","0.0","29.923","35.0","0.0","29.923","35.0","-35.675","174.025","13.9815","13.9815","1.585","0.0","0.0","0.0","0.0","0.0","29.923","12.9199285714286","0.0","29.923","12.9199285714286"
"Helicoverpa armigera","501806","2.0","","","0.0","","","0.0","-35.875","174.425","15.822","15.822","1.715","0.0","0.0","0.0","0.0","0.0","31.644","15.822","0.0","31.644","15.822"
"Helicoverpa armigera","501807","2.0","0.0","31.827","1.0","0.0","31.827","1.0","-35.625","174.525","15.9135","15.9135","1.715","0.0","0.0","0.0","0.0","0.0","31.827","15.9135","0.0","31.827","15.9135"
"Helicoverpa armigera","501809","2.0","0.0","30.753","14.0","0.0","30.753","14.0","-35.775","174.175","12.9905","12.9905","1.51","0.0","0.0","0.0","0.0","0.0","30.753","13.6961785714286","0.0","30.753","13.6961785714286"
"Helicoverpa armigera","501810","2.0","","","0.0","","","0.0","-35.775","174.225","13.9475","13.9475","1.6","0.0","0.0","0.0","0.0","0.0","27.895","13.9475","0.0","27.895","13.9475"
"Helicoverpa armigera","501811","2.0","0.0","31.644","15.0","0.0","31.644","15.0","-35.925","174.275","13.8","13.8","1.565","0.0","0.0","0.0","0.0","0.0","31.644","14.5173666666667","0.0","31.644","14.5173666666667"
"Helicoverpa armigera","501814","2.0","0.0","30.799","23.0","0.0","30.799","23.0","-35.525","174.375","13.6245","13.6245","1.595","0.0","0.0","0.0","0.0","0.0","30.799","13.288152173913","0.0","30.799","13.288152173913"
"Helicoverpa armigera","501815","2.0","0.0","31.457","5.0","0.0","31.457","5.0","-35.975","174.375","14.7355","14.7355","1.6","0.0","0.0","0.0","0.0","0.0","31.457","14.4105","0.0","31.457","14.4105"
"Helicoverpa armigera","501816","2.0","0.0","31.646","2.0","0.0","31.646","2.0","-36.025","174.475","15.823","15.823","1.635","0.0","0.0","0.0","0.0","0.0","31.646","15.81","0.0","31.646","15.81"
"Helicoverpa armigera","501817","2.0","0.0","30.875","5.0","0.0","30.875","5.0","-35.725","174.475","15.4375","15.4375","1.715","0.0","0.0","0.0","0.0","0.0","30.875","14.4991","0.0","30.875","14.4991"
"Helicoverpa armigera","501818","2.0","0.0","31.275","1.0","0.0","31.275","1.0","-35.775","174.425","15.6375","15.6375","1.725","0.0","0.0","0.0","0.0","0.0","31.275","15.6375","0.0","31.275","15.6375"
"Helicoverpa armigera","501819","2.0","0.0","32.231","2.0","0.0","32.231","2.0","-35.825","174.525","16.1155","16.1155","1.705","0.0","0.0","0.0","0.0","0.0","32.231","15.7835","0.0","32.231","15.7835"
"Helicoverpa armigera","502001","2.0","0.0","28.173","1.0","0.0","28.173","1.0","-35.625","174.275","13.517","13.517","1.605","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502002","2.0","","","0.0","","","0.0","-35.725","174.275","11.3695","11.3695","1.39","0.0","0.0","0.0","0.0","0.0","22.739","11.3695","0.0","22.739","11.3695"
"Helicoverpa armigera","502003","2.0","","","0.0","","","0.0","-35.725","174.275","11.3695","11.3695","1.39","0.0","0.0","0.0","0.0","0.0","22.739","11.3695","0.0","22.739","11.3695"
"Helicoverpa armigera","502004","2.0","","","0.0","","","0.0","-35.725","174.375","14.8395","14.8395","1.7","0.0","0.0","0.0","0.0","0.0","29.679","14.8395","0.0","29.679","14.8395"
"Helicoverpa armigera","502005","2.0","0.0","28.734","1.0","0.0","28.734","1.0","-35.775","174.275","14.367","14.367","1.61","0.0","0.0","0.0","0.0","0.0","28.734","14.367","0.0","28.734","14.367"
"Helicoverpa armigera","502101","2.0","","","0.0","","","0.0","-35.675","174.275","12.5265","12.5265","1.495","0.0","0.0","0.0","0.0","0.0","25.053","12.5265","0.0","25.053","12.5265"
"Helicoverpa armigera","502102","2.0","","","0.0","","","0.0","-35.675","174.325","14.0865","14.0865","1.64","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502201","2.0","","","0.0","","","0.0","-35.675","174.325","14.0865","14.0865","1.64","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502202","2.0","","","0.0","","","0.0","-35.675","174.325","14.0865","14.0865","1.64","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502300","2.0","","","0.0","","","0.0","-35.675","174.325","14.0865","14.0865","1.64","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502400","2.0","","","0.0","","","0.0","-35.675","174.325","14.0865","14.0865","1.64","0.0","0.0","0.0","0.0","0.0","28.173","14.0865","0.0","28.173","14.0865"
"Helicoverpa armigera","502500","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","502600","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","502700","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","502800","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","502900","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503000","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503100","2.0","0.0","30.641","1.0","0.0","30.641","1.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503200","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503300","2.0","","","0.0","","","0.0","-35.725","174.275","11.3695","11.3695","1.39","0.0","0.0","0.0","0.0","0.0","22.739","11.3695","0.0","22.739","11.3695"
"Helicoverpa armigera","503400","2.0","","","0.0","","","0.0","-35.725","174.275","11.3695","11.3695","1.39","0.0","0.0","0.0","0.0","0.0","22.739","11.3695","0.0","22.739","11.3695"
"Helicoverpa armigera","503500","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503600","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503700","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","503800","2.0","","","0.0","","","0.0","-35.775","174.275","14.367","14.367","1.61","0.0","0.0","0.0","0.0","0.0","28.734","14.367","0.0","28.734","14.367"
"Helicoverpa armigera","503900","2.0","","","0.0","","","0.0","-35.725","174.325","15.3205","15.3205","1.745","0.0","0.0","0.0","0.0","0.0","30.641","15.3205","0.0","30.641","15.3205"
"Helicoverpa armigera","504000","2.0","","","0.0","","","0.0","-35.725","174.375","14.8395","14.8395","1.7","0.0","0.0","0.0","0.0","0.0","29.679","14.8395","0.0","29.679","14.8395"
"Helicoverpa armigera","504100","2.0","","","0.0","","","0.0","-35.725","174.375","14.8395","14.8395","1.7","0.0","0.0","0.0","0.0","0.0","29.679","14.8395","0.0","29.679","14.8395"
"Helicoverpa armigera","504300","2.0","","","0.0","","","0.0","-35.575","174.275","13.742","13.742","1.615","0.0","0.0","0.0","0.0","0.0","27.484","13.742","0.0","27.484","13.742"
"Helicoverpa armigera","504400","2.0","0.0","33.266","1.0","0.0","33.266","1.0","-36.025","173.925","16.633","16.633","1.615","0.0","0.0","0.0","0.0","0.0","33.266","16.633","0.0","33.266","16.633"
"Helicoverpa armigera","504501","2.0","0.0","40.785","44.0","0.0","40.785","44.0","-35.925","173.825","18.542","18.542","1.62","0.0","0.0","0.0","0.0","0.0","40.785","15.5913068181818","0.0","40.785","15.5913068181818"
"Helicoverpa armigera","504502","2.0","0.0","32.114","27.0","0.0","32.114","27.0","-35.875","173.975","14.6005","14.6005","1.58","0.0","0.0","0.0","0.0","0.0","32.114","14.2518703703704","0.0","32.114","14.2518703703704"
"Helicoverpa armigera","504600","2.0","0.0","34.062","1.0","0.0","34.062","1.0","-35.925","173.875","17.031","17.031","1.615","0.0","0.0","0.0","0.0","0.0","34.062","17.031","0.0","34.062","17.031"
"Helicoverpa armigera","504700","2.0","","","0.0","","","0.0","-36.125","174.325","16.0785","16.0785","1.635","0.0","0.0","0.0","0.0","0.0","32.157","16.0785","0.0","32.157","16.0785"
"Helicoverpa armigera","504800","2.0","","","0.0","","","0.0","-36.125","173.975","17.065","17.065","1.61","0.0","0.0","0.0","0.0","0.0","34.13","17.065","0.0","34.13","17.065"
"Helicoverpa armigera","504900","2.0","","","0.0","","","0.0","-36.175","174.425","15.6425","15.6425","1.6","0.0","0.0","0.0","0.0","0.0","31.285","15.6425","0.0","31.285","15.6425"
"Helicoverpa armigera","505010","2.0","0.0","34.426","39.0","0.0","34.426","39.0","-36.125","174.275","16.1055","16.1055","1.64","0.0","0.0","0.0","0.0","0.0","34.426","15.4705897435897","0.0","34.426","15.4705897435897"
"Helicoverpa armigera","505021","2.0","","","0.0","","","0.0","-36.125","174.525","15.756","15.756","1.6","0.0","0.0","0.0","0.0","0.0","31.512","15.756","0.0","31.512","15.756"
"Helicoverpa armigera","505022","2.0","","","0.0","","","0.0","-36.075","174.575","16.4055","16.4055","1.65","0.0","0.0","0.0","0.0","0.0","32.811","16.4055","0.0","32.811","16.4055"
"Helicoverpa armigera","505300","2.0","","","0.0","","","0.0","-36.275","174.525","16.497","16.497","1.63","0.0","0.0","0.0","0.0","0.0","32.994","16.497","0.0","32.994","16.497"
"Helicoverpa armigera","505400","2.0","","","0.0","","","0.0","-36.275","174.775","12.5675","12.5675","1.35","0.0","0.0","0.0","0.0","0.0","25.135","12.5675","0.0","25.135","12.5675"
"Helicoverpa armigera","505500","2.0","","","0.0","","","0.0","-36.425","174.675","14.44","14.44","1.535","0.0","0.0","0.0","0.0","0.0","28.88","14.44","0.0","28.88","14.44"
"Helicoverpa armigera","505601","2.0","","","0.0","","","0.0","-36.775","174.475","23.335","23.335","1.89","0.0","0.0","0.0","0.0","0.0","46.67","23.335","0.0","46.67","23.335"
"Helicoverpa armigera","505602","2.0","","","0.0","","","0.0","-36.775","174.525","22.196","22.196","1.915","0.0","0.0","0.0","0.0","0.0","44.392","22.196","0.0","44.392","22.196"
"Helicoverpa armigera","505603","2.0","","","0.0","","","0.0","-36.775","174.575","21.8055","21.8055","1.915","0.0","0.0","0.0","0.0","0.0","43.611","21.8055","0.0","43.611","21.8055"
"Helicoverpa armigera","505604","2.0","0.0","43.611","1.0","0.0","43.611","1.0","-36.775","174.575","21.8055","21.8055","1.915","0.0","0.0","0.0","0.0","0.0","43.611","21.8055","0.0","43.611","21.8055"
"Helicoverpa armigera","505605","2.0","0.0","44.392","1.0","0.0","44.392","1.0","-36.775","174.525","22.196","22.196","1.915","0.0","0.0","0.0","0.0","0.0","44.392","22.196","0.0","44.392","22.196"
"Helicoverpa armigera","505700","2.0","","","0.0","","","0.0","-36.825","174.525","20.6565","20.6565","1.81","0.0","0.0","0.0","0.0","0.0","41.313","20.6565","0.0","41.313","20.6565"
"Helicoverpa armigera","505803","2.0","","","0.0","","","0.0","-36.575","174.675","15.5675","15.5675","1.58","0.0","0.0","0.0","0.0","0.0","31.135","15.5675","0.0","31.135","15.5675"
"Helicoverpa armigera","505804","2.0","","","0.0","","","0.0","-36.575","174.675","15.5675","15.5675","1.58","0.0","0.0","0.0","0.0","0.0","31.135","15.5675","0.0","31.135","15.5675"
"Helicoverpa armigera","505805","2.0","","","0.0","","","0.0","-36.575","174.675","15.5675","15.5675","1.58","0.0","0.0","0.0","0.0","0.0","31.135","15.5675","0.0","31.135","15.5675"
"Helicoverpa armigera","505806","2.0","","","0.0","","","0.0","-36.625","174.675","16.421","16.421","1.645","0.0","0.0","0.0","0.0","0.0","32.842","16.421","0.0","32.842","16.421"
"Helicoverpa armigera","505807","2.0","","","0.0","","","0.0","-36.625","174.675","16.421","16.421","1.645","0.0","0.0","0.0","0.0","0.0","32.842","16.421","0.0","32.842","16.421"
"Helicoverpa armigera","505808","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505902","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505904","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505906","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505907","2.0","0.0","30.523","1.0","0.0","30.523","1.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505908","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505909","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","505910","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","506001","2.0","0.0","32.842","1.0","0.0","32.842","1.0","-36.625","174.675","16.421","16.421","1.645","0.0","0.0","0.0","0.0","0.0","32.842","16.421","0.0","32.842","16.421"
"Helicoverpa armigera","506002","2.0","","","0.0","","","0.0","-36.625","174.725","15.2615","15.2615","1.58","0.0","0.0","0.0","0.0","0.0","30.523","15.2615","0.0","30.523","15.2615"
"Helicoverpa armigera","506003","2.0","","","0.0","","","0.0","-36.675","174.675","15.9905","15.9905","1.595","0.0","0.0","0.0","0.0","0.0","31.981","15.9905","0.0","31.981","15.9905"
"Helicoverpa armigera","506201","2.0","","","0.0","","","0.0","-36.575","174.675","15.5675","15.5675","1.58","0.0","0.0","0.0","0.0","0.0","31.135","15.5675","0.0","31.135","15.5675"
"Helicoverpa armigera","506202","2.0","0.0","31.135","1.0","0.0","31.135","1.0","-36.575","174.675","15.5675","15.5675","1.58","0.0","0.0","0.0","0.0","0.0","31.135","15.5675","0.0","31.135","15.5675"
"Helicoverpa armigera","506300","2.0","0.0","31.981","1.0","0.0","31.981","1.0","-36.675","174.675","15.9905","15.9905","1.595","0.0","0.0","0.0","0.0","0.0","31.981","15.9905","0.0","31.981","15.9905"
"Helicoverpa armigera","506400","2.0","","","0.0","","","0.0","-36.725","174.625","15.874","15.874","1.575","0.0","0.0","0.0","0.0","0.0","31.748","15.874","0.0","31.748","15.874"
"Helicoverpa armigera","506613","2.0","0.0","38.657","24.0","0.0","38.657","24.0","-36.425","174.525","12.329","12.329","1.335","0.0","0.0","0.0","0.0","0.0","38.657","15.507625","0.0","38.657","15.507625"
"Helicoverpa armigera","506614","2.0","0.0","36.094","7.0","0.0","36.094","7.0","-36.625","174.575","18.047","18.047","1.68","0.0","0.0","0.0","0.0","0.0","36.094","16.9024285714286","0.0","36.094","16.9024285714286"
"Helicoverpa armigera","506616","2.0","","","0.0","","","0.0","-36.275","174.775","12.5675","12.5675","1.35","0.0","0.0","0.0","0.0","0.0","25.135","12.5675","0.0","25.135","12.5675"
"Helicoverpa armigera","506620","2.0","","","0.0","","","0.0","-36.375","174.775","15.342","15.342","1.575","0.0","0.0","0.0","0.0","0.0","30.684","15.342","0.0","30.684","15.342"
"Helicoverpa armigera","506631","2.0","0.0","30.834","1.0","0.0","30.834","1.0","-36.425","174.725","15.417","15.417","1.625","0.0","0.0","0.0","0.0","0.0","30.834","15.417","0.0","30.834","15.417"
"Helicoverpa armigera","506633","2.0","","","0.0","","","0.0","-36.425","174.725","15.417","15.417","1.625","0.0","0.0","0.0","0.0","0.0","30.834","15.417","0.0","30.834","15.417"
"Helicoverpa armigera","506634","2.0","","","0.0","","","0.0","-36.425","174.725","15.417","15.417","1.625","0.0","0.0","0.0","0.0","0.0","30.834","15.417","0.0","30.834","15.417"
"Helicoverpa armigera","506642","2.0","0.0","53.573","10.0","0.0","53.573","10.0","-36.575","174.325","22.506","22.506","1.725","0.0","0.0","0.0","0.0","0.0","53.573","23.28235","0.0","53.573","23.28235"
"Helicoverpa armigera","506644","2.0","0.0","53.152","1.0","0.0","53.152","1.0","-36.675","174.425","26.576","26.576","1.94","0.0","0.0","0.0","0.0","0.0","53.152","26.576","0.0","53.152","26.576"
"Helicoverpa armigera","506645","2.0","","","0.0","","","0.0","-36.675","174.425","26.576","26.576","1.94","0.0","0.0","0.0","0.0","0.0","53.152","26.576","0.0","53.152","26.576"
"Helicoverpa armigera","506646","2.0","0.0","47.601","4.0","0.0","47.601","4.0","-36.625","174.475","23.8005","23.8005","1.73","0.0","0.0","0.0","0.0","0.0","47.601","21.28925","0.0","47.601","21.28925"
"Helicoverpa armigera","506647","2.0","","","0.0","","","0.0","-36.625","174.475","23.8005","23.8005","1.73","0.0","0.0","0.0","0.0","0.0","47.601","23.8005","0.0","47.601","23.8005"
"Helicoverpa armigera","506648","2.0","","","0.0","","","0.0","-36.675","174.475","24.7065","24.7065","1.82","0.0","0.0","0.0","0.0","0.0","49.413","24.7065","0.0","49.413","24.7065"
"Helicoverpa armigera","506652","2.0","0.0","48.8","3.0","0.0","48.8","3.0","-36.775","174.425","24.4","24.4","1.855","0.0","0.0","0.0","0.0","0.0","48.8","22.7971666666667","0.0","48.8","22.7971666666667"
"Helicoverpa armigera","506653","2.0","0.0","46.693","5.0","0.0","46.693","5.0","-36.725","174.575","20.535","20.535","1.79","0.0","0.0","0.0","0.0","0.0","46.693","19.7888","0.0","46.693","19.7888"
"Helicoverpa armigera","506654","2.0","","","0.0","","","0.0","-36.825","174.475","20.8085","20.8085","1.78","0.0","0.0","0.0","0.0","0.0","41.617","20.8085","0.0","41.617","20.8085"
"Helicoverpa armigera","506655","2.0","0.0","41.617","1.0","0.0","41.617","1.0","-36.825","174.475","20.8085","20.8085","1.78","0.0","0.0","0.0","0.0","0.0","41.617","20.8085","0.0","41.617","20.8085"
"Helicoverpa armigera","506656","2.0","","","0.0","","","0.0","-36.875","174.475","21.051","21.051","1.865","0.0","0.0","0.0","0.0","0.0","42.102","21.051","0.0","42.102","21.051"
"Helicoverpa armigera","506657","2.0","","","0.0","","","0.0","-36.325","174.725","15.4445","15.4445","1.605","0.0","0.0","0.0","0.0","0.0","30.889","15.4445","0.0","30.889","15.4445"
"Helicoverpa armigera","506658","2.0","","","0.0","","","0.0","-36.375","174.775","15.342","15.342","1.575","0.0","0.0","0.0","0.0","0.0","30.684","15.342","0.0","30.684","15.342"
"Helicoverpa armigera","506659","2.0","","","0.0","","","0.0","-36.325","174.725","15.4445","15.4445","1.605","0.0","0.0","0.0","0.0","0.0","30.889","15.4445","0.0","30.889","15.4445"
"Helicoverpa armigera","506660","2.0","0.0","34.2","16.0","0.0","34.2","16.0","-36.275","174.575","15.6505","15.6505","1.595","0.0","0.0","0.0","0.0","0.0","34.2","14.88415625","0.0","34.2","14.88415625"
"Helicoverpa armigera","506661","2.0","0.0","30.889","6.0","0.0","30.889","6.0","-36.325","174.725","15.4445","15.4445","1.605","0.0","0.0","0.0","0.0","0.0","30.889","14.2976666666667","0.0","30.889","14.2976666666667"
"Helicoverpa armigera","506800","2.0","0.0","49.413","1.0","0.0","49.413","1.0","-36.675","174.475","24.7065","24.7065","1.82","0.0","0.0","0.0","0.0","0.0","49.413","24.7065","0.0","49.413","24.7065"
