"Species","Code","N_models","EI_min","EI_max","EI_count","GI_min","GI_max","GI_count","Latitude","Longitude","EI","GI","generations","CS","HS","DS","WS","EI_min_cor","EI_max_cor","EI_avg_cor","GI_min_cor","GI_max_cor","GI_avg_cor"
"Bactrocera dorsalis","500100","4.0","","","0.0","","","0.0","-35.025","173.275","25.57325","25.57325","4.6975","0.0","0.0","0.0","0.0","13.716","42.352","25.57325","13.716","42.352","25.57325"
"Bactrocera dorsalis","500202","4.0","0.534","42.596","24.0","5.565","42.596","24.0","-35.075","173.425","22.27925","22.27925","4.5475","0.0","0.0","0.0","0.0","0.534","42.596","21.32665625","5.565","42.596","21.5462395833333"
"Bactrocera dorsalis","500203","4.0","","","0.0","","","0.0","-35.025","173.525","22.14225","22.20925","4.4375","0.5815","0.0","0.0","0.0","10.148","40.196","22.14225","10.148","40.196","22.20925"
"Bactrocera dorsalis","500204","4.0","3.828","42.317","16.0","7.871","42.317","16.0","-35.225","173.225","15.7665","17.49725","3.29","16.09925","0.0","0.0","0.0","3.828","42.317","23.524921875","7.871","42.317","23.729015625"
"Bactrocera dorsalis","500205","4.0","","","0.0","","","0.0","-35.175","173.175","23.48925","23.48925","4.5775","0.0","0.0","0.0","0.0","11.44","41.467","23.48925","11.44","41.467","23.48925"
"Bactrocera dorsalis","500206","4.0","12.208","43.854","18.0","12.208","43.854","18.0","-34.575","172.875","25.9705","25.9705","4.74","0.0","0.0","0.0","0.0","12.208","43.854","26.1959305555556","12.208","43.854","26.1959305555556"
"Bactrocera dorsalis","500207","4.0","13.724","43.457","9.0","13.724","43.457","9.0","-34.775","173.075","26.00025","26.00025","4.7875","0.0","0.0","0.0","0.0","13.724","43.457","26.3755555555556","13.724","43.457","26.3755555555556"
"Bactrocera dorsalis","500208","4.0","10.475","43.394","11.0","10.475","43.394","11.0","-34.975","173.175","25.40475","25.40475","4.52","0.0","0.0","0.0","0.0","10.475","43.394","25.8326818181818","10.475","43.394","25.8329318181818"
"Bactrocera dorsalis","500301","4.0","","","0.0","","","0.0","-35.125","173.275","25.32575","25.32575","4.6975","0.0","0.0","0.0","0.0","13.455","42.317","25.32575","13.455","42.317","25.32575"
"Bactrocera dorsalis","500302","4.0","","","0.0","","","0.0","-35.125","173.275","25.32575","25.32575","4.6975","0.0","0.0","0.0","0.0","13.455","42.317","25.32575","13.455","42.317","25.32575"
"Bactrocera dorsalis","500401","4.0","","","0.0","","","0.0","-35.125","173.775","18.8005","19.87525","3.92","9.914","0.0","0.0","0.0","6.541","36.121","18.8005","8.93","36.121","19.87525"
"Bactrocera dorsalis","500402","4.0","0.0","41.419","26.0","6.011","41.419","26.0","-35.075","173.775","23.41275","23.41275","4.5825","0.0","0.0","0.0","0.0","0.0","41.419","20.2712980769231","6.011","41.419","21.0210480769231"
"Bactrocera dorsalis","500500","4.0","","","0.0","","","0.0","-35.375","173.525","22.59975","22.59975","4.345","0.0","0.0","0.0","0.0","11.123","39.616","22.59975","11.123","39.616","22.59975"
"Bactrocera dorsalis","500600","4.0","","","0.0","","","0.0","-35.425","173.525","23.3925","23.3925","4.4125","0.0","0.0","0.0","0.0","11.934","40.157","23.3925","11.934","40.157","23.3925"
"Bactrocera dorsalis","500700","4.0","","","0.0","","","0.0","-35.525","173.425","19.9025","20.45975","3.6775","4.34125","0.0","0.0","0.0","10.603","34.472","19.9025","10.851","34.472","20.45975"
"Bactrocera dorsalis","500801","4.0","0.0","41.184","31.0","4.661","41.184","31.0","-35.325","173.475","21.46825","21.469","4.15","0.00625","0.0","0.0","0.0","0.0","41.184","20.5442822580645","4.661","41.184","20.9892822580645"
"Bactrocera dorsalis","500802","4.0","0.0","41.173","29.0","3.241","41.173","29.0","-35.475","173.575","21.9915","21.9915","4.2225","0.0","0.0","0.0","0.0","0.0","41.173","18.6634482758621","3.241","41.173","19.6580862068966"
"Bactrocera dorsalis","500900","4.0","9.237","39.578","2.0","9.237","39.578","2.0","-35.225","173.975","21.93575","22.1335","4.3575","1.6565","0.0","0.0","0.0","9.237","39.578","21.291875","9.237","39.578","21.5795"
"Bactrocera dorsalis","501000","4.0","","","0.0","","","0.0","-35.325","174.175","20.83925","21.1465","4.5525","3.36025","0.0","0.0","0.0","7.912","41.004","20.83925","8.253","41.004","21.1465"
"Bactrocera dorsalis","501100","4.0","","","0.0","","","0.0","-35.325","174.075","19.87675","20.219","4.485","4.22525","0.0","0.0","0.035","6.674","40.473","19.87675","7.275","40.473","20.219"
"Bactrocera dorsalis","501200","4.0","","","0.0","","","0.0","-35.275","174.025","20.715","20.9035","4.3275","1.868","0.0","0.0","0.0","8.753","39.343","20.715","8.753","39.343","20.9035"
"Bactrocera dorsalis","501300","4.0","","","0.0","","","0.0","-35.325","174.075","19.87675","20.219","4.485","4.22525","0.0","0.0","0.035","6.674","40.473","19.87675","7.275","40.473","20.219"
"Bactrocera dorsalis","501400","4.0","","","0.0","","","0.0","-35.375","174.025","18.99675","19.286","4.3175","3.75725","0.0","0.0","0.1275","6.35","39.246","18.99675","6.664","39.246","19.286"
"Bactrocera dorsalis","501500","4.0","","","0.0","","","0.0","-35.375","174.025","18.99675","19.286","4.3175","3.75725","0.0","0.0","0.1275","6.35","39.246","18.99675","6.664","39.246","19.286"
"Bactrocera dorsalis","501612","4.0","","","0.0","","","0.0","-35.325","174.075","19.87675","20.219","4.485","4.22525","0.0","0.0","0.035","6.674","40.473","19.87675","7.275","40.473","20.219"
"Bactrocera dorsalis","501614","4.0","5.667","41.805","7.0","8.994","41.805","7.0","-35.175","173.975","23.5225","23.738","4.3775","1.48925","0.0","0.0","0.0","5.667","41.805","24.2896785714286","8.994","41.805","24.8000714285714"
"Bactrocera dorsalis","501615","4.0","8.081","40.386","2.0","8.081","40.386","2.0","-35.225","174.025","22.817","22.8965","4.4625","0.6315","0.0","0.0","0.0","8.081","40.386","21.42625","8.081","40.386","21.573125"
"Bactrocera dorsalis","501620","4.0","0.0","42.012","24.0","4.152","42.012","24.0","-35.425","174.125","17.45225","18.314","4.105","11.961","0.0","0.0","0.1635","0.0","42.012","18.3268125","4.152","42.012","18.9227708333333"
"Bactrocera dorsalis","501631","4.0","3.692","37.151","2.0","5.976","37.151","2.0","-35.325","173.775","15.79825","16.70375","3.62","12.23775","0.0","0.0","0.342","3.692","37.151","17.21225","5.976","37.151","17.749375"
"Bactrocera dorsalis","501632","4.0","1.148","35.13","3.0","4.535","35.13","3.0","-35.325","173.875","15.12975","16.30575","3.7425","19.49875","0.0","0.0","0.477","1.148","35.13","15.1280833333333","4.535","35.13","16.1665833333333"
"Bactrocera dorsalis","501633","4.0","0.0","40.473","13.0","4.985","40.473","13.0","-35.275","173.875","15.89225","16.98125","3.78","15.83325","0.0","0.0","0.1145","0.0","40.473","17.22325","4.985","40.473","17.9979038461538"
"Bactrocera dorsalis","501634","4.0","0.0","39.578","28.0","3.046","39.578","28.0","-35.475","173.825","18.969","19.13925","4.1425","1.85225","0.0","0.0","0.268","0.0","39.578","16.5572232142857","3.046","39.578","17.3193035714286"
"Bactrocera dorsalis","501700","4.0","","","0.0","","","0.0","-35.425","173.775","17.44","17.84775","3.9125","5.0465","0.0","0.0","0.56975","5.872","36.171","17.44","6.421","36.171","17.84775"
"Bactrocera dorsalis","501802","4.0","0.0","39.877","35.0","5.346","39.877","35.0","-35.675","174.025","19.4565","19.8385","4.2","4.213","0.0","0.0","0.041","0.0","39.877","17.8435071428571","5.346","39.877","18.6010857142857"
"Bactrocera dorsalis","501806","4.0","","","0.0","","","0.0","-35.875","174.425","22.3475","22.43075","4.52","0.735","0.0","0.0","0.0","10.147","40.795","22.3475","10.147","40.795","22.43075"
"Bactrocera dorsalis","501807","4.0","9.896","40.768","1.0","9.896","40.768","1.0","-35.625","174.525","22.08075","22.2905","4.5175","1.86525","0.0","0.0","0.0","9.896","40.768","22.08075","9.896","40.768","22.2905"
"Bactrocera dorsalis","501809","4.0","0.0","40.257","14.0","6.054","40.257","14.0","-35.775","174.175","17.79625","18.91975","4.005","12.93075","0.0","0.0","0.0255","0.0","40.257","18.9156607142857","6.054","40.257","19.683125"
"Bactrocera dorsalis","501810","4.0","","","0.0","","","0.0","-35.775","174.225","19.20525","19.76525","4.235","6.37175","0.0","0.0","0.0445","6.511","38.554","19.20525","7.646","38.554","19.76525"
"Bactrocera dorsalis","501811","4.0","4.134","40.795","15.0","7.86","40.795","15.0","-35.925","174.275","19.203","19.882","4.15","7.22975","0.0","0.0","0.02675","4.134","40.795","20.2495666666667","7.86","40.795","20.8162166666667"
"Bactrocera dorsalis","501814","4.0","0.0","41.715","23.0","4.303","41.715","23.0","-35.525","174.375","18.6185","19.2855","4.225","8.2515","0.0","0.0","0.0425","0.0","41.715","18.1371195652174","4.303","41.715","18.856597826087"
"Bactrocera dorsalis","501815","4.0","1.376","39.924","5.0","7.639","39.924","5.0","-35.975","174.375","20.6155","21.11975","4.2325","4.6075","0.0","0.0","0.0","1.376","39.924","19.8786","7.639","39.924","20.7095"
"Bactrocera dorsalis","501816","4.0","10.397","40.277","2.0","10.397","40.277","2.0","-36.025","174.475","21.91625","22.22175","4.3175","2.49625","0.0","0.0","0.0","10.397","40.277","22.08125","10.397","40.277","22.322875"
"Bactrocera dorsalis","501817","4.0","3.676","40.768","5.0","7.505","40.768","5.0","-35.725","174.475","21.262","21.446","4.5175","1.86525","0.0","0.0","0.0","3.676","40.768","19.93195","7.505","40.768","20.4154"
"Bactrocera dorsalis","501818","4.0","9.613","40.933","1.0","9.613","40.933","1.0","-35.775","174.425","21.9695","22.094","4.5375","1.16175","0.0","0.0","0.0","9.613","40.933","21.9695","9.613","40.933","22.094"
"Bactrocera dorsalis","501819","4.0","10.449","40.524","2.0","10.449","40.524","2.0","-35.825","174.525","22.84475","23.004","4.4875","1.2725","0.0","0.0","0.0","10.449","40.524","22.461","10.449","40.524","22.66225"
"Bactrocera dorsalis","502001","4.0","6.554","39.34","1.0","7.018","39.34","1.0","-35.625","174.275","18.46425","19.0135","4.24","7.14525","0.0","0.0","0.21675","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502002","4.0","","","0.0","","","0.0","-35.725","174.275","15.39175","17.3655","3.715","25.4225","0.0","0.0","0.01725","0.0","34.444","15.39175","6.431","34.444","17.3655"
"Bactrocera dorsalis","502003","4.0","","","0.0","","","0.0","-35.725","174.275","15.39175","17.3655","3.715","25.4225","0.0","0.0","0.01725","0.0","34.444","15.39175","6.431","34.444","17.3655"
"Bactrocera dorsalis","502004","4.0","","","0.0","","","0.0","-35.725","174.375","20.54525","20.7105","4.48","1.78825","0.0","0.0","0.09775","7.971","40.483","20.54525","8.003","40.483","20.7105"
"Bactrocera dorsalis","502005","4.0","7.863","38.788","1.0","8.48","38.788","1.0","-35.775","174.275","20.0135","20.481","4.2625","4.8035","0.0","0.0","0.0","7.863","38.788","20.0135","8.48","38.788","20.481"
"Bactrocera dorsalis","502101","4.0","","","0.0","","","0.0","-35.675","174.275","17.04075","18.15975","3.975","14.535","0.0","0.0","0.08875","3.205","36.518","17.04075","6.49","36.518","18.15975"
"Bactrocera dorsalis","502102","4.0","","","0.0","","","0.0","-35.675","174.325","19.2485","19.59925","4.3325","4.32175","0.0","0.0","0.12075","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502201","4.0","","","0.0","","","0.0","-35.675","174.325","19.2485","19.59925","4.3325","4.32175","0.0","0.0","0.12075","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502202","4.0","","","0.0","","","0.0","-35.675","174.325","19.2485","19.59925","4.3325","4.32175","0.0","0.0","0.12075","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502300","4.0","","","0.0","","","0.0","-35.675","174.325","19.2485","19.59925","4.3325","4.32175","0.0","0.0","0.12075","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502400","4.0","","","0.0","","","0.0","-35.675","174.325","19.2485","19.59925","4.3325","4.32175","0.0","0.0","0.12075","6.554","39.34","19.2485","7.018","39.34","19.59925"
"Bactrocera dorsalis","502500","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","502600","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","502700","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","502800","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","502900","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503000","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503100","4.0","7.736","41.289","1.0","7.761","41.289","1.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503200","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503300","4.0","","","0.0","","","0.0","-35.725","174.275","15.39175","17.3655","3.715","25.4225","0.0","0.0","0.01725","0.0","34.444","15.39175","6.431","34.444","17.3655"
"Bactrocera dorsalis","503400","4.0","","","0.0","","","0.0","-35.725","174.275","15.39175","17.3655","3.715","25.4225","0.0","0.0","0.01725","0.0","34.444","15.39175","6.431","34.444","17.3655"
"Bactrocera dorsalis","503500","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503600","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503700","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","503800","4.0","","","0.0","","","0.0","-35.775","174.275","20.0135","20.481","4.2625","4.8035","0.0","0.0","0.0","7.863","38.788","20.0135","8.48","38.788","20.481"
"Bactrocera dorsalis","503900","4.0","","","0.0","","","0.0","-35.725","174.325","20.82275","20.88975","4.585","0.7075","0.0","0.0","0.0805","7.736","41.289","20.82275","7.761","41.289","20.88975"
"Bactrocera dorsalis","504000","4.0","","","0.0","","","0.0","-35.725","174.375","20.54525","20.7105","4.48","1.78825","0.0","0.0","0.09775","7.971","40.483","20.54525","8.003","40.483","20.7105"
"Bactrocera dorsalis","504100","4.0","","","0.0","","","0.0","-35.725","174.375","20.54525","20.7105","4.48","1.78825","0.0","0.0","0.09775","7.971","40.483","20.54525","8.003","40.483","20.7105"
"Bactrocera dorsalis","504300","4.0","","","0.0","","","0.0","-35.575","174.275","18.52925","19.06925","4.265","7.0645","0.0","0.0","0.20725","5.343","38.8","18.52925","6.594","38.8","19.06925"
"Bactrocera dorsalis","504400","4.0","10.871","38.847","1.0","14.312","38.847","1.0","-36.025","173.925","23.32175","24.60775","4.2725","8.03075","0.0","0.0","0.0","10.871","38.847","23.32175","14.312","38.847","24.60775"
"Bactrocera dorsalis","504501","4.0","0.0","40.805","44.0","4.058","40.805","44.0","-35.925","173.825","26.617","27.5","4.285","4.352","0.0","0.0","0.0","0.0","40.805","21.3120568181818","4.058","40.805","23.2934943181818"
"Bactrocera dorsalis","504502","4.0","0.0","39.956","27.0","6.692","39.956","27.0","-35.875","173.975","20.8535","21.70225","4.185","7.015","0.0","0.0","0.0","0.0","39.956","19.9045185185185","6.692","39.956","20.9985462962963"
"Bactrocera dorsalis","504600","4.0","13.852","38.901","1.0","15.154","38.901","1.0","-35.925","173.875","24.44425","25.19625","4.275","4.46","0.0","0.0","0.0","13.852","38.901","24.44425","15.154","38.901","25.19625"
"Bactrocera dorsalis","504700","4.0","","","0.0","","","0.0","-36.125","174.325","22.307","22.629","4.3175","2.4985","0.0","0.0","0.0","11.154","39.291","22.307","11.154","39.291","22.629"
"Bactrocera dorsalis","504800","4.0","","","0.0","","","0.0","-36.125","173.975","23.8125","25.348","4.26","8.88125","0.0","0.0","0.0","11.149","38.763","23.8125","15.345","38.763","25.348"
"Bactrocera dorsalis","504900","4.0","","","0.0","","","0.0","-36.175","174.425","21.65675","22.27725","4.235","4.8485","0.0","0.0","0.0","10.317","38.624","21.65675","11.017","38.624","22.27725"
"Bactrocera dorsalis","505010","4.0","0.29","39.919","39.0","7.615","39.919","39.0","-36.125","174.275","22.349","22.6435","4.34","2.3095","0.0","0.0","0.0","0.29","39.919","21.3805448717949","7.615","39.919","22.1214294871795"
"Bactrocera dorsalis","505021","4.0","","","0.0","","","0.0","-36.125","174.525","21.95","22.51325","4.23","4.24475","0.0","0.0","0.0","11.016","38.614","21.95","11.286","38.614","22.51325"
"Bactrocera dorsalis","505022","4.0","","","0.0","","","0.0","-36.075","174.575","22.908","23.2025","4.36","2.1595","0.0","0.0","0.0","11.718","39.616","22.908","11.718","39.616","23.2025"
"Bactrocera dorsalis","505300","4.0","","","0.0","","","0.0","-36.275","174.525","22.85375","23.30025","4.3125","3.19475","0.0","0.0","0.0","12.097","39.262","22.85375","12.097","39.262","23.30025"
"Bactrocera dorsalis","505400","4.0","","","0.0","","","0.0","-36.275","174.775","17.542","18.85225","3.625","11.88375","0.0","0.0","0.0","5.785","33.917","17.542","8.569","33.917","18.85225"
"Bactrocera dorsalis","505500","4.0","","","0.0","","","0.0","-36.425","174.675","20.019","20.3625","4.0825","3.2435","0.0","0.0","0.0","8.984","37.522","20.019","8.984","37.522","20.3625"
"Bactrocera dorsalis","505601","4.0","","","0.0","","","0.0","-36.775","174.475","30.09425","30.09425","4.9575","0.0","0.0","0.0","0.0","18.906","44.823","30.09425","18.906","44.823","30.09425"
"Bactrocera dorsalis","505602","4.0","","","0.0","","","0.0","-36.775","174.525","28.3235","28.3235","5.02","0.0","0.0","0.0","0.0","16.01","45.289","28.3235","16.01","45.289","28.3235"
"Bactrocera dorsalis","505603","4.0","","","0.0","","","0.0","-36.775","174.575","27.7405","27.7405","5.02","0.0","0.0","0.0","0.0","15.187","45.289","27.7405","15.187","45.289","27.7405"
"Bactrocera dorsalis","505604","4.0","15.187","45.289","1.0","15.187","45.289","1.0","-36.775","174.575","27.7405","27.7405","5.02","0.0","0.0","0.0","0.0","15.187","45.289","27.7405","15.187","45.289","27.7405"
"Bactrocera dorsalis","505605","4.0","16.01","45.289","1.0","16.01","45.289","1.0","-36.775","174.525","28.3235","28.3235","5.02","0.0","0.0","0.0","0.0","16.01","45.289","28.3235","16.01","45.289","28.3235"
"Bactrocera dorsalis","505700","4.0","","","0.0","","","0.0","-36.825","174.525","26.182","26.182","4.7725","0.0","0.0","0.0","0.0","13.977","43.414","26.182","13.977","43.414","26.182"
"Bactrocera dorsalis","505803","4.0","","","0.0","","","0.0","-36.575","174.675","21.53525","21.774","4.1825","1.936","0.0","0.0","0.0","10.438","38.33","21.53525","10.438","38.33","21.774"
"Bactrocera dorsalis","505804","4.0","","","0.0","","","0.0","-36.575","174.675","21.53525","21.774","4.1825","1.936","0.0","0.0","0.0","10.438","38.33","21.53525","10.438","38.33","21.774"
"Bactrocera dorsalis","505805","4.0","","","0.0","","","0.0","-36.575","174.675","21.53525","21.774","4.1825","1.936","0.0","0.0","0.0","10.438","38.33","21.53525","10.438","38.33","21.774"
"Bactrocera dorsalis","505806","4.0","","","0.0","","","0.0","-36.625","174.675","22.678","22.746","4.35","0.526","0.0","0.0","0.0","11.132","39.62","22.678","11.132","39.62","22.746"
"Bactrocera dorsalis","505807","4.0","","","0.0","","","0.0","-36.625","174.675","22.678","22.746","4.35","0.526","0.0","0.0","0.0","11.132","39.62","22.678","11.132","39.62","22.746"
"Bactrocera dorsalis","505808","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505902","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505904","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505906","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505907","4.0","8.296","38.202","1.0","10.152","38.202","1.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505908","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505909","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","505910","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","506001","4.0","11.132","39.62","1.0","11.132","39.62","1.0","-36.625","174.675","22.678","22.746","4.35","0.526","0.0","0.0","0.0","11.132","39.62","22.678","11.132","39.62","22.746"
"Bactrocera dorsalis","506002","4.0","","","0.0","","","0.0","-36.625","174.725","20.61025","21.508","4.1825","7.55325","0.0","0.0","0.0","8.296","38.202","20.61025","10.152","38.202","21.508"
"Bactrocera dorsalis","506003","4.0","","","0.0","","","0.0","-36.675","174.675","22.143","22.377","4.225","1.78425","0.0","0.0","0.0","11.083","38.628","22.143","11.083","38.628","22.377"
"Bactrocera dorsalis","506201","4.0","","","0.0","","","0.0","-36.575","174.675","21.53525","21.774","4.1825","1.936","0.0","0.0","0.0","10.438","38.33","21.53525","10.438","38.33","21.774"
"Bactrocera dorsalis","506202","4.0","10.438","38.33","1.0","10.438","38.33","1.0","-36.575","174.675","21.53525","21.774","4.1825","1.936","0.0","0.0","0.0","10.438","38.33","21.53525","10.438","38.33","21.774"
"Bactrocera dorsalis","506300","4.0","11.083","38.628","1.0","11.083","38.628","1.0","-36.675","174.675","22.143","22.377","4.225","1.78425","0.0","0.0","0.0","11.083","38.628","22.143","11.083","38.628","22.377"
"Bactrocera dorsalis","506400","4.0","","","0.0","","","0.0","-36.725","174.625","21.487","22.54775","4.17","7.76575","0.0","0.0","0.0","9.416","38.127","21.487","11.567","38.127","22.54775"
"Bactrocera dorsalis","506613","4.0","0.0","39.802","24.0","7.965","39.802","24.0","-36.425","174.525","16.407","19.43275","3.5875","29.82675","0.0","0.0","0.0","0.0","39.802","20.9125625","7.965","39.802","22.75965625"
"Bactrocera dorsalis","506614","4.0","11.062","40.46","7.0","11.062","40.46","7.0","-36.625","174.575","24.5325","24.5325","4.44","0.0","0.0","0.0","0.0","11.062","40.46","23.3310357142857","11.062","40.46","23.34375"
"Bactrocera dorsalis","506616","4.0","","","0.0","","","0.0","-36.275","174.775","17.542","18.85225","3.625","11.88375","0.0","0.0","0.0","5.785","33.917","17.542","8.569","33.917","18.85225"
"Bactrocera dorsalis","506620","4.0","","","0.0","","","0.0","-36.375","174.775","21.47","21.5255","4.18","0.466","0.0","0.0","0.0","10.121","38.333","21.47","10.121","38.333","21.5255"
"Bactrocera dorsalis","506631","4.0","8.97","39.254","1.0","8.97","39.254","1.0","-36.425","174.725","20.96475","20.96475","4.2975","0.0","0.0","0.0","0.00025","8.97","39.254","20.96475","8.97","39.254","20.96475"
"Bactrocera dorsalis","506633","4.0","","","0.0","","","0.0","-36.425","174.725","20.96475","20.96475","4.2975","0.0","0.0","0.0","0.00025","8.97","39.254","20.96475","8.97","39.254","20.96475"
"Bactrocera dorsalis","506634","4.0","","","0.0","","","0.0","-36.425","174.725","20.96475","20.96475","4.2975","0.0","0.0","0.0","0.00025","8.97","39.254","20.96475","8.97","39.254","20.96475"
"Bactrocera dorsalis","506642","4.0","13.364","45.87","10.0","18.396","45.87","10.0","-36.575","174.325","31.10675","31.10675","4.55","0.0","0.0","0.0","0.0","13.364","45.87","31.3798","18.396","45.87","31.5865"
"Bactrocera dorsalis","506644","4.0","25.467","45.745","1.0","25.467","45.745","1.0","-36.675","174.425","34.92175","34.92175","5.0825","0.0","0.0","0.0","0.0","25.467","45.745","34.92175","25.467","45.745","34.92175"
"Bactrocera dorsalis","506645","4.0","","","0.0","","","0.0","-36.675","174.425","34.92175","34.92175","5.0825","0.0","0.0","0.0","0.0","25.467","45.745","34.92175","25.467","45.745","34.92175"
"Bactrocera dorsalis","506646","4.0","14.69","41.761","4.0","14.69","41.761","4.0","-36.625","174.475","31.0005","31.0005","4.575","0.0","0.0","0.0","0.0","14.69","41.761","28.324","14.69","41.761","28.324"
"Bactrocera dorsalis","506647","4.0","","","0.0","","","0.0","-36.625","174.475","31.0005","31.0005","4.575","0.0","0.0","0.0","0.0","21.825","41.709","31.0005","21.825","41.709","31.0005"
"Bactrocera dorsalis","506648","4.0","","","0.0","","","0.0","-36.675","174.475","32.222","32.222","4.7875","0.0","0.0","0.0","0.0","22.746","43.468","32.222","22.746","43.468","32.222"
"Bactrocera dorsalis","506652","4.0","13.977","44.823","3.0","13.977","44.823","3.0","-36.775","174.425","31.7425","31.7425","4.8775","0.0","0.0","0.0","0.0","13.977","44.823","29.3395833333333","13.977","44.823","29.3395833333333"
"Bactrocera dorsalis","506653","4.0","9.416","44.886","5.0","11.567","44.886","5.0","-36.725","174.575","26.02975","26.02975","4.7225","0.0","0.0","0.0","0.0","9.416","44.886","25.8738","11.567","44.886","26.08595"
"Bactrocera dorsalis","506654","4.0","","","0.0","","","0.0","-36.825","174.475","26.47025","26.47025","4.6925","0.0","0.0","0.0","0.0","14.67","42.823","26.47025","14.67","42.823","26.47025"
"Bactrocera dorsalis","506655","4.0","14.67","42.823","1.0","14.67","42.823","1.0","-36.825","174.475","26.47025","26.47025","4.6925","0.0","0.0","0.0","0.0","14.67","42.823","26.47025","14.67","42.823","26.47025"
"Bactrocera dorsalis","506656","4.0","","","0.0","","","0.0","-36.875","174.475","26.70425","26.70425","4.895","0.0","0.0","0.0","0.0","14.319","44.352","26.70425","14.319","44.352","26.70425"
"Bactrocera dorsalis","506657","4.0","","","0.0","","","0.0","-36.325","174.725","21.3815","21.384","4.255","0.0225","0.0","0.0","0.0","9.636","38.929","21.3815","9.636","38.929","21.384"
"Bactrocera dorsalis","506658","4.0","","","0.0","","","0.0","-36.375","174.775","21.47","21.5255","4.18","0.466","0.0","0.0","0.0","10.121","38.333","21.47","10.121","38.333","21.5255"
