Species,Code,N_models,EI_min,EI_max,EI_count,GI_min,GI_max,GI_count,Latitude,Longitude,EI,GI,generations,CS,HS,DS,WS,EI_min_cor,EI_max_cor,EI_avg_cor,GI_min_cor,GI_max_cor,GI_avg_cor
Bactrocera tryoni,500100,1,,,0,,,0,-35.025,173.275,26.491,35.992,4.48,26.397,0,0,0,26.491,26.491,26.491,35.992,35.992,35.992
Bactrocera tryoni,500202,1,0.406,26.96,24,24.142,36.322,24,-35.075,173.425,24.36,34.838,4.34,30.077,0,0,0,0.406,26.96,19.961875,24.142,36.322,32.91166667
Bactrocera tryoni,500203,1,,,0,,,0,-35.025,173.525,23.507,34.43,4.29,31.727,0,0,0,23.507,23.507,23.507,34.43,34.43,34.43
Bactrocera tryoni,500204,1,0.373,27.147,16,24.165,35.958,16,-35.225,173.225,0.373,24.165,3.01,98.457,0,0,0,0.373,27.147,19.2155,24.165,35.958,32.4989375
Bactrocera tryoni,500205,1,,,0,,,0,-35.175,173.175,24.532,34.869,4.34,29.645,0,0,0,24.532,24.532,24.532,34.869,34.869,34.869
Bactrocera tryoni,500206,1,20.549,32.163,18,32.438,37.725,18,-34.575,172.875,29.203,36.482,4.54,19.951,0,0,0,20.549,32.163,29.14805556,32.438,37.725,36.43494444
Bactrocera tryoni,500207,1,27.686,30.223,9,35.763,37.219,9,-34.775,173.075,29.398,36.753,4.58,20.014,0,0,0,27.686,30.223,29.20866667,35.763,37.219,36.64011111
Bactrocera tryoni,500208,1,20.982,30.101,11,32.958,37.149,11,-34.975,173.175,23.694,34.409,4.28,31.14,0,0,0,20.982,30.101,26.81418182,32.958,37.149,35.71345455
Bactrocera tryoni,500301,1,,,0,,,0,-35.125,173.275,26.433,35.958,4.48,26.49,0,0,0,26.433,26.433,26.433,35.958,35.958,35.958
Bactrocera tryoni,500302,1,,,0,,,0,-35.125,173.275,26.433,35.958,4.48,26.49,0,0,0,26.433,26.433,26.433,35.958,35.958,35.958
Bactrocera tryoni,500401,1,,,0,,,0,-35.125,173.775,13.057,30.122,3.75,56.651,0,0,0,13.057,13.057,13.057,30.122,30.122,30.122
Bactrocera tryoni,500402,1,6.113,25.801,26,26.9,35.739,26,-35.075,173.775,25.644,35.647,4.44,28.062,0,0,0,6.113,25.801,16.70838462,26.9,35.739,31.587
Bactrocera tryoni,500500,1,,,0,,,0,-35.375,173.525,19.769,32.899,4.1,39.912,0,0,0,19.769,19.769,19.769,32.899,32.899,32.899
Bactrocera tryoni,500600,1,,,0,,,0,-35.425,173.525,20.815,33.476,4.17,37.823,0,0,0,20.815,20.815,20.815,33.476,33.476,33.476
Bactrocera tryoni,500700,1,,,0,,,0,-35.525,173.425,7.575,27.367,3.41,72.32,0,0,0,7.575,7.575,7.575,27.367,27.367,27.367
Bactrocera tryoni,500801,1,0,23.675,31,21.862,34.521,31,-35.325,173.475,16.395,31.257,3.89,47.549,0,0,0,0,23.675,15.29129032,21.862,34.521,30.70990323
Bactrocera tryoni,500802,1,0,23.033,29,17.608,34.656,29,-35.475,173.575,17.029,32.051,3.99,46.87,0,0,0,0,23.033,10.88055172,17.608,34.656,28.47872414
Bactrocera tryoni,500900,1,19.131,20.875,2,32.584,33.585,2,-35.225,173.975,20.875,33.585,4.18,37.844,0,0,0,19.131,20.875,20.003,32.584,33.585,33.0845
Bactrocera tryoni,501000,1,,,0,,,0,-35.325,174.175,25.516,35.377,4.41,27.874,0,0,0,25.516,25.516,25.516,35.377,35.377,35.377
Bactrocera tryoni,501100,1,,,0,,,0,-35.325,174.075,24.552,34.807,4.33,29.46,0,0,0,24.552,24.552,24.552,34.807,34.807,34.807
Bactrocera tryoni,501200,1,,,0,,,0,-35.275,174.025,20.429,33.333,4.15,38.712,0,0,0,20.429,20.429,20.429,33.333,33.333,33.333
Bactrocera tryoni,501300,1,,,0,,,0,-35.325,174.075,24.552,34.807,4.33,29.46,0,0,0,24.552,24.552,24.552,34.807,34.807,34.807
Bactrocera tryoni,501400,1,,,0,,,0,-35.375,174.025,20.527,33.318,4.15,38.391,0,0,0,20.527,20.527,20.527,33.318,33.318,33.318
Bactrocera tryoni,501500,1,,,0,,,0,-35.375,174.025,20.527,33.318,4.15,38.391,0,0,0,20.527,20.527,20.527,33.318,33.318,33.318
Bactrocera tryoni,501612,1,,,0,,,0,-35.325,174.075,24.552,34.807,4.33,29.46,0,0,0,24.552,24.552,24.552,34.807,34.807,34.807
Bactrocera tryoni,501614,1,12.909,26.937,7,29.896,36.238,7,-35.175,173.975,21.152,33.74,4.2,37.309,0,0,0,12.909,26.937,21.48057143,29.896,36.238,33.60714286
Bactrocera tryoni,501615,1,19.714,23.612,2,32.924,34.437,2,-35.225,174.025,23.612,34.437,4.29,31.434,0,0,0,19.714,23.612,21.663,32.924,34.437,33.6805
Bactrocera tryoni,501620,1,11.516,27.296,24,28.999,36.466,24,-35.425,174.125,17.465,31.546,3.93,44.636,0,0,0,11.516,27.296,19.24666667,28.999,36.466,32.55258333
Bactrocera tryoni,501631,1,5.949,13.584,2,26.925,30.299,2,-35.325,173.775,5.949,26.925,3.35,77.907,0,0,0,5.949,13.584,9.7665,26.925,30.299,28.612
Bactrocera tryoni,501632,1,10.324,10.928,3,28.411,28.788,3,-35.325,173.875,10.47,28.496,3.55,63.257,0,0,0,10.324,10.928,10.574,28.411,28.788,28.565
Bactrocera tryoni,501633,1,0,24.552,13,24.414,34.807,13,-35.275,173.875,10.989,28.791,3.59,61.831,0,0,0,0,24.552,13.30146154,24.414,34.807,29.94492308
Bactrocera tryoni,501634,1,0,20.699,28,18.455,33.465,28,-35.475,173.825,17.117,31.572,3.93,45.784,0,0,0,0,20.699,11.74825,18.455,33.465,29.16667857
Bactrocera tryoni,501700,1,,,0,,,0,-35.425,173.775,12.176,29.619,3.69,58.893,0,0,0,12.176,12.176,12.176,29.619,29.619,29.619
Bactrocera tryoni,501802,1,0,21.121,35,22.451,33.806,35,-35.675,174.025,18.336,32.183,4.01,43.027,0,0,0,0,21.121,14.68274286,22.451,33.806,30.67022857
Bactrocera tryoni,501806,1,,,0,,,0,-35.875,174.425,24.126,35.029,4.36,31.127,0,0,0,24.126,24.126,24.126,35.029,35.029,35.029
Bactrocera tryoni,501807,1,24.118,24.118,1,34.972,34.972,1,-35.625,174.525,24.118,34.972,4.35,31.038,0,0,0,24.118,24.118,24.118,34.972,34.972,34.972
Bactrocera tryoni,501809,1,9.878,21.926,14,28.279,34.453,14,-35.775,174.175,14.015,30.713,3.82,54.369,0,0,0,9.878,21.926,17.17135714,28.279,34.453,31.90671429
Bactrocera tryoni,501810,1,,,0,,,0,-35.775,174.225,18.766,32.615,4.06,42.464,0,0,0,18.766,18.766,18.766,32.615,32.615,32.615
Bactrocera tryoni,501811,1,12.83,24.126,15,30.062,35.029,15,-35.925,174.275,17.402,31.829,3.96,45.327,0,0,0,12.83,24.126,18.72786667,30.062,35.029,32.59453333
Bactrocera tryoni,501814,1,10.351,26.77,23,28.21,36.145,23,-35.525,174.375,18.931,32.54,4.05,41.822,0,0,0,10.351,26.77,18.62678261,28.21,36.145,32.40191304
Bactrocera tryoni,501815,1,9.605,20.854,5,28.125,33.754,5,-35.975,174.375,18.501,32.42,4.04,42.934,0,0,0,9.605,20.854,16.6102,28.125,33.754,31.4804
Bactrocera tryoni,501816,1,19.377,21.683,2,32.819,34.247,2,-36.025,174.475,19.377,32.819,4.09,40.959,0,0,0,19.377,21.683,20.53,32.819,34.247,33.533
Bactrocera tryoni,501817,1,13.339,24.118,5,30.303,34.972,5,-35.725,174.475,24.118,34.972,4.35,31.038,0,0,0,13.339,24.118,20.4436,30.303,34.972,33.4472
Bactrocera tryoni,501818,1,24.398,24.398,1,35.171,35.171,1,-35.775,174.425,24.398,35.171,4.38,30.63,0,0,0,24.398,24.398,24.398,35.171,35.171,35.171
Bactrocera tryoni,501819,1,21.029,23.669,2,33.954,34.748,2,-35.825,174.525,23.669,34.748,4.33,31.885,0,0,0,21.029,23.669,22.349,33.954,34.748,34.351
Bactrocera tryoni,502001,1,20.21,20.21,1,33.437,33.437,1,-35.625,174.275,18.927,32.676,4.07,42.076,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502002,1,,,0,,,0,-35.725,174.275,9.878,28.279,3.52,65.07,0,0,0,9.878,9.878,9.878,28.279,28.279,28.279
Bactrocera tryoni,502003,1,,,0,,,0,-35.725,174.275,9.878,28.279,3.52,65.07,0,0,0,9.878,9.878,9.878,28.279,28.279,28.279
Bactrocera tryoni,502004,1,,,0,,,0,-35.725,174.375,23.584,34.677,4.32,31.989,0,0,0,23.584,23.584,23.584,34.677,34.677,34.677
Bactrocera tryoni,502005,1,19.187,19.187,1,32.865,32.865,1,-35.775,174.275,19.187,32.865,4.09,41.619,0,0,0,19.187,19.187,19.187,32.865,32.865,32.865
Bactrocera tryoni,502101,1,,,0,,,0,-35.675,174.275,13.609,30.447,3.79,55.304,0,0,0,13.609,13.609,13.609,30.447,30.447,30.447
Bactrocera tryoni,502102,1,,,0,,,0,-35.675,174.325,20.21,33.437,4.16,39.558,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502201,1,,,0,,,0,-35.675,174.325,20.21,33.437,4.16,39.558,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502202,1,,,0,,,0,-35.675,174.325,20.21,33.437,4.16,39.558,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502300,1,,,0,,,0,-35.675,174.325,20.21,33.437,4.16,39.558,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502400,1,,,0,,,0,-35.675,174.325,20.21,33.437,4.16,39.558,0,0,0,20.21,20.21,20.21,33.437,33.437,33.437
Bactrocera tryoni,502500,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,502600,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,502700,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,502800,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,502900,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503000,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503100,1,25.032,25.032,1,35.546,35.546,1,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503200,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503300,1,,,0,,,0,-35.725,174.275,9.878,28.279,3.52,65.07,0,0,0,9.878,9.878,9.878,28.279,28.279,28.279
Bactrocera tryoni,503400,1,,,0,,,0,-35.725,174.275,9.878,28.279,3.52,65.07,0,0,0,9.878,9.878,9.878,28.279,28.279,28.279
Bactrocera tryoni,503500,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503600,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503700,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,503800,1,,,0,,,0,-35.775,174.275,19.187,32.865,4.09,41.619,0,0,0,19.187,19.187,19.187,32.865,32.865,32.865
Bactrocera tryoni,503900,1,,,0,,,0,-35.725,174.325,25.032,35.546,4.43,29.581,0,0,0,25.032,25.032,25.032,35.546,35.546,35.546
Bactrocera tryoni,504000,1,,,0,,,0,-35.725,174.375,23.584,34.677,4.32,31.989,0,0,0,23.584,23.584,23.584,34.677,34.677,34.677
Bactrocera tryoni,504100,1,,,0,,,0,-35.725,174.375,23.584,34.677,4.32,31.989,0,0,0,23.584,23.584,23.584,34.677,34.677,34.677
Bactrocera tryoni,504300,1,,,0,,,0,-35.575,174.275,19.352,32.865,4.09,41.117,0,0,0,19.352,19.352,19.352,32.865,32.865,32.865
Bactrocera tryoni,504400,1,19.952,19.952,1,32.905,32.905,1,-36.025,173.925,19.952,32.905,4.1,39.364,0,0,0,19.952,19.952,19.952,32.905,32.905,32.905
Bactrocera tryoni,504501,1,0,21.745,44,18.164,33.359,44,-35.925,173.825,19.942,32.762,4.08,39.132,0,0,0,0,21.745,13.70281818,18.164,33.359,29.71052273
Bactrocera tryoni,504502,1,6.089,21.554,27,26.628,33.928,27,-35.875,173.975,18.389,32.002,3.99,42.539,0,0,0,6.089,21.554,16.63107407,26.628,33.928,31.33818519
Bactrocera tryoni,504600,1,19.834,19.834,1,32.7,32.7,1,-35.925,173.875,19.834,32.7,4.07,39.346,0,0,0,19.834,19.834,19.834,32.7,32.7,32.7
Bactrocera tryoni,504700,1,,,0,,,0,-36.125,174.325,19.437,32.859,4.09,40.846,0,0,0,19.437,19.437,19.437,32.859,32.859,32.859
Bactrocera tryoni,504800,1,,,0,,,0,-36.125,173.975,19.69,32.861,4.09,40.081,0,0,0,19.69,19.69,19.69,32.861,32.861,32.861
Bactrocera tryoni,504900,1,,,0,,,0,-36.175,174.425,18.228,32.133,4,43.273,0,0,0,18.228,18.228,18.228,32.133,32.133,32.133
Bactrocera tryoni,505010,1,6.293,20.996,39,27.114,33.643,39,-36.125,174.275,19.765,33.048,4.12,40.195,0,0,0,6.293,20.996,18.0595641,27.114,33.643,32.10710256
Bactrocera tryoni,505021,1,,,0,,,0,-36.125,174.525,18.115,32.095,4,43.558,0,0,0,18.115,18.115,18.115,32.095,32.095,32.095
Bactrocera tryoni,505022,1,,,0,,,0,-36.075,174.575,19.965,33.166,4.13,39.803,0,0,0,19.965,19.965,19.965,33.166,33.166,33.166
Bactrocera tryoni,505300,1,,,0,,,0,-36.275,174.525,19.308,32.786,4.08,41.109,0,0,0,19.308,19.308,19.308,32.786,32.786,32.786
Bactrocera tryoni,505400,1,,,0,,,0,-36.275,174.775,6.234,27.124,3.38,77.017,0,0,0,6.234,6.234,6.234,27.124,27.124,27.124
Bactrocera tryoni,505500,1,,,0,,,0,-36.425,174.675,16.223,30.96,3.86,47.601,0,0,0,16.223,16.223,16.223,30.96,30.96,30.96
Bactrocera tryoni,505601,1,,,0,,,0,-36.775,174.475,31.499,39.519,4.92,20.295,0,0,0,31.499,31.499,31.499,39.519,39.519,39.519
Bactrocera tryoni,505602,1,,,0,,,0,-36.775,174.525,32.493,40.072,4.99,18.915,0,0,0,32.493,32.493,32.493,40.072,40.072,40.072
Bactrocera tryoni,505603,1,,,0,,,0,-36.775,174.575,32.493,40.072,4.99,18.915,0,0,0,32.493,32.493,32.493,40.072,40.072,40.072
Bactrocera tryoni,505604,1,32.493,32.493,1,40.072,40.072,1,-36.775,174.575,32.493,40.072,4.99,18.915,0,0,0,32.493,32.493,32.493,40.072,40.072,40.072
Bactrocera tryoni,505605,1,32.493,32.493,1,40.072,40.072,1,-36.775,174.525,32.493,40.072,4.99,18.915,0,0,0,32.493,32.493,32.493,40.072,40.072,40.072
Bactrocera tryoni,505700,1,,,0,,,0,-36.825,174.525,27.447,37.894,4.72,27.57,0,0,0,27.447,27.447,27.447,37.894,37.894,37.894
Bactrocera tryoni,505803,1,,,0,,,0,-36.575,174.675,17.051,32.106,4,46.891,0,0,0,17.051,17.051,17.051,32.106,32.106,32.106
Bactrocera tryoni,505804,1,,,0,,,0,-36.575,174.675,17.051,32.106,4,46.891,0,0,0,17.051,17.051,17.051,32.106,32.106,32.106
Bactrocera tryoni,505805,1,,,0,,,0,-36.575,174.675,17.051,32.106,4,46.891,0,0,0,17.051,17.051,17.051,32.106,32.106,32.106
Bactrocera tryoni,505806,1,,,0,,,0,-36.625,174.675,19.299,33.598,4.18,42.561,0,0,0,19.299,19.299,19.299,33.598,33.598,33.598
Bactrocera tryoni,505807,1,,,0,,,0,-36.625,174.675,19.299,33.598,4.18,42.561,0,0,0,19.299,19.299,19.299,33.598,33.598,33.598
Bactrocera tryoni,505808,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505902,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505904,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505906,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505907,1,16.866,16.866,1,32.193,32.193,1,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505908,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505909,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,505910,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,506001,1,19.299,19.299,1,33.598,33.598,1,-36.625,174.675,19.299,33.598,4.18,42.561,0,0,0,19.299,19.299,19.299,33.598,33.598,33.598
Bactrocera tryoni,506002,1,,,0,,,0,-36.625,174.725,16.866,32.193,4.01,47.61,0,0,0,16.866,16.866,16.866,32.193,32.193,32.193
Bactrocera tryoni,506003,1,,,0,,,0,-36.675,174.675,17.165,32.626,4.06,47.389,0,0,0,17.165,17.165,17.165,32.626,32.626,32.626
Bactrocera tryoni,506201,1,,,0,,,0,-36.575,174.675,17.051,32.106,4,46.891,0,0,0,17.051,17.051,17.051,32.106,32.106,32.106
Bactrocera tryoni,506202,1,17.051,17.051,1,32.106,32.106,1,-36.575,174.675,17.051,32.106,4,46.891,0,0,0,17.051,17.051,17.051,32.106,32.106,32.106
Bactrocera tryoni,506300,1,17.165,17.165,1,32.626,32.626,1,-36.675,174.675,17.165,32.626,4.06,47.389,0,0,0,17.165,17.165,17.165,32.626,32.626,32.626
Bactrocera tryoni,506400,1,,,0,,,0,-36.725,174.625,16.686,32.092,4,48.007,0,0,0,16.686,16.686,16.686,32.092,32.092,32.092
Bactrocera tryoni,506613,1,4.499,20.07,24,26.415,33.591,24,-36.425,174.525,5.99,26.897,3.35,77.729,0,0,0,4.499,20.07,13.28091667,26.415,33.591,30.265875
Bactrocera tryoni,506614,1,16.02,20.147,7,31.896,34.508,7,-36.625,174.575,20.147,34.508,4.3,41.617,0,0,0,16.02,20.147,18.24,31.896,34.508,33.209
Bactrocera tryoni,506616,1,,,0,,,0,-36.275,174.775,6.234,27.124,3.38,77.017,0,0,0,6.234,6.234,6.234,27.124,27.124,27.124
Bactrocera tryoni,506620,1,,,0,,,0,-36.375,174.775,17.649,31.733,3.95,44.383,0,0,0,17.649,17.649,17.649,31.733,31.733,31.733
Bactrocera tryoni,506631,1,19.39,19.39,1,32.72,32.72,1,-36.425,174.725,19.39,32.72,4.07,40.739,0,0,0,19.39,19.39,19.39,32.72,32.72,32.72
Bactrocera tryoni,506633,1,,,0,,,0,-36.425,174.725,19.39,32.72,4.07,40.739,0,0,0,19.39,19.39,19.39,32.72,32.72,32.72
Bactrocera tryoni,506634,1,,,0,,,0,-36.425,174.725,19.39,32.72,4.07,40.739,0,0,0,19.39,19.39,19.39,32.72,32.72,32.72
Bactrocera tryoni,506642,1,12.465,33.683,10,30.198,40.721,10,-36.575,174.325,23.132,35.483,4.42,34.808,0,0,0,12.465,33.683,24.62,30.198,40.721,36.2963
Bactrocera tryoni,506644,1,33.419,33.419,1,40.574,40.574,1,-36.675,174.425,33.419,40.574,5.05,17.635,0,0,0,33.419,33.419,33.419,40.574,40.574,40.574
Bactrocera tryoni,506645,1,,,0,,,0,-36.675,174.425,33.419,40.574,5.05,17.635,0,0,0,33.419,33.419,33.419,40.574,40.574,40.574
Bactrocera tryoni,506646,1,20.479,23.719,4,34.711,35.914,4,-36.625,174.475,23.261,35.865,4.47,35.141,0,0,0,20.479,23.719,22.2885,34.711,35.914,35.40975
Bactrocera tryoni,506647,1,,,0,,,0,-36.625,174.475,23.261,35.865,4.47,35.141,0,0,0,23.261,23.261,23.261,35.865,35.865,35.865
Bactrocera tryoni,506648,1,,,0,,,0,-36.675,174.475,27.664,37.91,4.72,27.027,0,0,0,27.664,27.664,27.664,37.91,37.91,37.91
Bactrocera tryoni,506652,1,27.447,31.499,3,37.894,39.519,3,-36.775,174.425,29.217,38.833,4.84,24.762,0,0,0,27.447,31.499,29.38766667,37.894,39.519,38.74866667
Bactrocera tryoni,506653,1,16.686,31.625,5,32.092,39.592,5,-36.725,174.575,26.663,37.464,4.67,28.831,0,0,0,16.686,31.625,23.6726,32.092,39.592,35.9146
Bactrocera tryoni,506654,1,,,0,,,0,-36.825,174.475,26.176,37.21,4.63,29.652,0,0,0,26.176,26.176,26.176,37.21,37.21,37.21
Bactrocera tryoni,506655,1,26.176,26.176,1,37.21,37.21,1,-36.825,174.475,26.176,37.21,4.63,29.652,0,0,0,26.176,26.176,26.176,37.21,37.21,37.21
Bactrocera tryoni,506656,1,,,0,,,0,-36.875,174.475,29.498,38.978,4.85,24.323,0,0,0,29.498,29.498,29.498,38.978,38.978,38.978
Bactrocera tryoni,506657,1,,,0,,,0,-36.325,174.725,18.798,32.367,4.03,41.923,0,0,0,18.798,18.798,18.798,32.367,32.367,32.367
Bactrocera tryoni,506658,1,,,0,,,0,-36.375,174.775,17.649,31.733,3.95,44.383,0,0,0,17.649,17.649,17.649,31.733,31.733,31.733
Bactrocera tryoni,506659,1,,,0,,,0,-36.325,174.725,18.798,32.367,4.03,41.923,0,0,0,18.798,18.798,18.798,32.367,32.367,32.367
Bactrocera tryoni,506660,1,5.246,20.482,16,26.565,33.453,16,-36.275,174.575,18.075,32.065,3.99,43.631,0,0,0,5.246,20.482,14.49125,26.565,33.453,30.5910625
Bactrocera tryoni,506661,1,6.639,18.798,6,27.33,32.367,6,-36.325,174.725,18.798,32.367,4.03,41.923,0,0,0,6.639,18.798,14.343,27.33,32.367,30.3125
Bactrocera tryoni,506800,1,27.664,27.664,1,37.91,37.91,1,-36.675,174.475,27.664,37.91,4.72,27.027,0,0,0,27.664,27.664,27.664,37.91,37.91,37.91
Bactrocera tryoni,506901,1,,,0,,,0,-36.675,174.725,17.532,32.569,4.06,46.171,0,0,0,17.532,17.532,17.532,32.569,32.569,32.569
Bactrocera tryoni,506902,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,506903,1,,,0,,,0,-36.675,174.725,17.532,32.569,4.06,46.171,0,0,0,17.532,17.532,17.532,32.569,32.569,32.569
Bactrocera tryoni,507000,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507101,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507102,1,13.828,13.828,1,31.347,31.347,1,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507200,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507300,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507400,1,,,0,,,0,-36.725,174.725,13.828,31.347,3.9,55.888,0,0,0,13.828,13.828,13.828,31.347,31.347,31.347
Bactrocera tryoni,507500,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,507710,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,507720,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,507800,1,18.746,18.746,1,33.262,33.262,1,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,507900,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,508010,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,508020,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,508110,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,508120,1,,,0,,,0,-36.775,174.775,18.746,33.262,4.14,43.643,0,0,0,18.746,18.746,18.746,33.262,33.262,33.262
Bactrocera tryoni,508210,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508220,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508310,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508320,1,14.114,14.114,1,31.509,31.509,1,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508411,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508412,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508420,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508510,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508520,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508610,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
Bactrocera tryoni,508620,1,,,0,,,0,-36.775,174.725,14.114,31.509,3.92,55.209,0,0,0,14.114,14.114,14.114,31.509,31.509,31.509
